"","ownership","rating","N","total","percent","date","year"
"1","For-profit","Good",2084,3321,62.7521830773863,2015-12-25,2015
"2","For-profit","Inadequate",87,3321,2.6196928635953,2015-12-25,2015
"3","For-profit","Outstanding",22,3321,0.662451068955134,2015-12-25,2015
"4","For-profit","Requires improvement",1128,3321,33.9656729900632,2015-12-25,2015
"5","Local Authority","Good",76,115,66.0869565217391,2015-12-25,2015
"6","Local Authority","Inadequate",1,115,0.869565217391304,2015-12-25,2015
"7","Local Authority","Outstanding",0,115,0,2015-12-25,2015
"8","Local Authority","Requires improvement",38,115,33.0434782608696,2015-12-25,2015
"9","Third sector","Good",321,425,75.5294117647059,2015-12-25,2015
"10","Third sector","Inadequate",7,425,1.64705882352941,2015-12-25,2015
"11","Third sector","Outstanding",4,425,0.941176470588235,2015-12-25,2015
"12","Third sector","Requires improvement",93,425,21.8823529411765,2015-12-25,2015
"13","For-profit","Good",4467,6128,72.894908616188,2016-12-30,2016
"14","For-profit","Inadequate",125,6128,2.03981723237598,2016-12-30,2016
"15","For-profit","Outstanding",55,6128,0.897519582245431,2016-12-30,2016
"16","For-profit","Requires improvement",1481,6128,24.1677545691906,2016-12-30,2016
"17","Local Authority","Good",192,253,75.8893280632411,2016-12-30,2016
"18","Local Authority","Inadequate",0,253,0,2016-12-30,2016
"19","Local Authority","Outstanding",1,253,0.395256916996047,2016-12-30,2016
"20","Local Authority","Requires improvement",60,253,23.7154150197628,2016-12-30,2016
"21","Third sector","Good",792,957,82.7586206896552,2016-12-30,2016
"22","Third sector","Inadequate",4,957,0.417972831765935,2016-12-30,2016
"23","Third sector","Outstanding",20,957,2.08986415882968,2016-12-30,2016
"24","Third sector","Requires improvement",141,957,14.7335423197492,2016-12-30,2016
"25","For-profit","Good",5152,6843,75.2886161040479,2017-12-29,2017
"26","For-profit","Inadequate",126,6843,1.84129767645769,2017-12-29,2017
"27","For-profit","Outstanding",130,6843,1.89975157094841,2017-12-29,2017
"28","For-profit","Requires improvement",1435,6843,20.970334648546,2017-12-29,2017
"29","Local Authority","Good",238,280,85,2017-12-29,2017
"30","Local Authority","Inadequate",1,280,0.357142857142857,2017-12-29,2017
"31","Local Authority","Outstanding",5,280,1.78571428571429,2017-12-29,2017
"32","Local Authority","Requires improvement",36,280,12.8571428571429,2017-12-29,2017
"33","Third sector","Good",853,1019,83.7095191364082,2017-12-29,2017
"34","Third sector","Inadequate",4,1019,0.392541707556428,2017-12-29,2017
"35","Third sector","Outstanding",34,1019,3.33660451422964,2017-12-29,2017
"36","Third sector","Requires improvement",128,1019,12.5613346418057,2017-12-29,2017
"37","For-profit","Good",5618,7307,76.885178595867,2018-12-28,2018
"38","For-profit","Inadequate",90,7307,1.23169563432325,2018-12-28,2018
"39","For-profit","Outstanding",221,7307,3.02449705761598,2018-12-28,2018
"40","For-profit","Requires improvement",1378,7307,18.8586287121938,2018-12-28,2018
"41","Local Authority","Good",239,289,82.6989619377163,2018-12-28,2018
"42","Local Authority","Inadequate",0,289,0,2018-12-28,2018
"43","Local Authority","Outstanding",6,289,2.07612456747405,2018-12-28,2018
"44","Local Authority","Requires improvement",44,289,15.2249134948097,2018-12-28,2018
"45","Third sector","Good",869,1020,85.1960784313725,2018-12-28,2018
"46","Third sector","Inadequate",5,1020,0.490196078431373,2018-12-28,2018
"47","Third sector","Outstanding",33,1020,3.23529411764706,2018-12-28,2018
"48","Third sector","Requires improvement",113,1020,11.078431372549,2018-12-28,2018
"49","For-profit","Good",5809,7563,76.8081449160386,2019-12-27,2019
"50","For-profit","Inadequate",101,7563,1.33544889594076,2019-12-27,2019
"51","For-profit","Outstanding",322,7563,4.25756974745471,2019-12-27,2019
"52","For-profit","Requires improvement",1331,7563,17.5988364405659,2019-12-27,2019
"53","Local Authority","Good",237,285,83.1578947368421,2019-12-27,2019
"54","Local Authority","Inadequate",0,285,0,2019-12-27,2019
"55","Local Authority","Outstanding",9,285,3.1578947368421,2019-12-27,2019
"56","Local Authority","Requires improvement",39,285,13.6842105263158,2019-12-27,2019
"57","Third sector","Good",841,997,84.3530591775326,2019-12-27,2019
"58","Third sector","Inadequate",3,997,0.300902708124373,2019-12-27,2019
"59","Third sector","Outstanding",31,997,3.10932798395186,2019-12-27,2019
"60","Third sector","Requires improvement",122,997,12.2367101303912,2019-12-27,2019
"61","For-profit","Good",5779,7499,77.0636084811308,2020-12-25,2020
"62","For-profit","Inadequate",81,7499,1.08014401920256,2020-12-25,2020
"63","For-profit","Outstanding",357,7499,4.76063475130017,2020-12-25,2020
"64","For-profit","Requires improvement",1282,7499,17.0956127483664,2020-12-25,2020
"65","Local Authority","Good",237,283,83.7455830388693,2020-12-25,2020
"66","Local Authority","Inadequate",0,283,0,2020-12-25,2020
"67","Local Authority","Outstanding",9,283,3.18021201413428,2020-12-25,2020
"68","Local Authority","Requires improvement",37,283,13.0742049469965,2020-12-25,2020
"69","Third sector","Good",818,965,84.7668393782383,2020-12-25,2020
"70","Third sector","Inadequate",2,965,0.207253886010363,2020-12-25,2020
"71","Third sector","Outstanding",37,965,3.83419689119171,2020-12-25,2020
"72","Third sector","Requires improvement",108,965,11.1917098445596,2020-12-25,2020
"73","For-profit","Good",5624,7409,75.9076798488325,2021-12-31,2021
"74","For-profit","Inadequate",118,7409,1.5926575786206,2021-12-31,2021
