"","reportdate","overall","ownership","locationid","location_start_2025","location_end_2025","good","rating"
"1",2014-10-10,"Good","For-profit","1-436991296",19176,22272,1,"Good"
"2",2014-10-24,"Good","For-profit","1-365223696",19022,20361,1,"Good"
"3",2014-10-24,"Good","Third sector","1-750158902",19541,23720,1,"Good"
"4",2014-10-28,"Good","Third sector","1-120702093",18653,22725,1,"Good"
"5",2014-10-28,"Good","For-profit","1-256936554",18791,21899,1,"Good"
"6",2014-10-28,"Good","For-profit","1-8026511168",21899,NA,1,"Good"
"7",2014-10-31,"Requires improvement","For-profit","1-108384875",18646,20593,0,"Requires improvement"
"8",2014-10-31,"Good","Third sector","1-636282583",19442,21028,1,"Good"
"9",2014-11-04,"Good","Local Authority","1-456397816",19234,19975,1,"Good"
"10",2014-11-07,"Good","For-profit","1-138196422",18653,20564,1,"Good"
"11",2014-11-07,"Good","For-profit","1-203739848",18723,NA,1,"Good"
"12",2014-11-07,"Good","Local Authority","1-251574140",18784,22104,1,"Good"
"13",2014-11-07,"Good","Local Authority","1-9177663474",22104,NA,1,"Good"
"14",2014-11-11,"Good","Local Authority","1-1037849403",19669,NA,1,"Good"
"15",2014-11-11,"Good","For-profit","1-117663302",18641,21851,1,"Good"
"16",2014-11-11,"Good","For-profit","1-1229050411",19796,20338,1,"Good"
"17",2014-11-11,"Requires improvement","For-profit","1-123519589",18612,22924,0,"Requires improvement"
"18",2014-11-11,"Requires improvement","For-profit","1-13885484745",22924,NA,0,"Requires improvement"
"19",2014-11-14,"Good","Third sector","1-1041032166",19683,22530,1,"Good"
"20",2014-11-14,"Good","For-profit","1-301258810",18872,20299,1,"Good"
"21",2014-11-18,"Good","Third sector","1-119188478",18688,22453,1,"Good"
"22",2014-11-18,"Good","For-profit","1-121979814",18584,20299,1,"Good"
"23",2014-11-21,"Requires improvement","Third sector","1-119177374",18688,22581,0,"Requires improvement"
"24",2014-11-21,"Good","For-profit","1-125498134",18581,NA,1,"Good"
"25",2014-11-21,"Good","Third sector","1-126755895",18602,20376,1,"Good"
"26",2014-11-21,"Requires improvement","Third sector","1-139656931",18611,23496,0,"Requires improvement"
"27",2014-11-21,"Good","For-profit","1-1430040755",19912,20299,1,"Good"
"28",2014-11-21,"Good","For-profit","1-144083791",18645,NA,1,"Good"
"29",2014-11-21,"Good","For-profit","1-148228226",18672,NA,1,"Good"
"30",2014-11-21,"Good","For-profit","1-438983679",19171,20395,1,"Good"
"31",2014-11-28,"Good","For-profit","1-122285692",18604,21124,1,"Good"
"32",2014-11-28,"Good","For-profit","1-528827568",19347,20475,1,"Good"
"33",2014-11-28,"Good","For-profit","1-620599082",19404,NA,1,"Good"
"34",2014-12-02,"Good","For-profit","1-1200663840",19768,20712,1,"Good"
"35",2014-12-02,"Good","Third sector","1-123154158",18609,NA,1,"Good"
"36",2014-12-02,"Good","For-profit","1-128318673",18599,20590,1,"Good"
"37",2014-12-02,"Requires improvement","For-profit","1-386335444",19085,20193,0,"Requires improvement"
"38",2014-12-05,"Good","Third sector","1-120702273",18653,NA,1,"Good"
"39",2014-12-05,"Good","For-profit","1-277531070",18826,NA,1,"Good"
"40",2014-12-09,"Good","Third sector","1-120089180",18639,NA,1,"Good"
"41",2014-12-09,"Good","Third sector","1-124666019",18627,20433,1,"Good"
"42",2014-12-09,"Good","For-profit","1-156230649",18655,NA,1,"Good"
"43",2014-12-09,"Good","For-profit","1-401258911",19094,22313,1,"Good"
"44",2014-12-09,"Good","For-profit","1-426136631",19137,NA,1,"Good"
"45",2014-12-09,"Requires improvement","For-profit","1-574893440",19382,21308,0,"Requires improvement"
"46",2014-12-09,"Good","For-profit","1-9672527284",22245,NA,1,"Good"
"47",2014-12-11,"Good","For-profit","1-416540080",19165,NA,1,"Good"
"48",2014-12-11,"Good","For-profit","1-418750924",19127,22313,1,"Good"
"49",2014-12-11,"Good","For-profit","1-9660020339",22245,22655,1,"Good"
"50",2014-12-12,"Good","For-profit","1-11463373101",22589,23152,1,"Good"
"51",2014-12-12,"Good","For-profit","1-557276607",19406,22589,1,"Good"
"52",2014-12-14,"Requires improvement","For-profit","1-644839566",19423,21635,0,"Requires improvement"
"53",2014-12-15,"Good","For-profit","1-115981889",18603,NA,1,"Good"
"54",2014-12-15,"Good","Local Authority","1-120437786",18693,NA,1,"Good"
"55",2014-12-15,"Good","For-profit","1-126673136",18592,23117,1,"Good"
"56",2014-12-15,"Good","For-profit","1-750226194",19532,20879,1,"Good"
"57",2014-12-16,"Good","For-profit","1-112329822",18841,20677,1,"Good"
"58",2014-12-16,"Good","For-profit","1-1326680856",19820,NA,1,"Good"
